bairro,numero_quartos,numero_banheiros,vagas_carro,area_gourmet,mobiliado,varanda,imobiliaria,tipo,preco,Link
Santa Cruz de Mis,0,0,0,N,N,N,S,Ponto comercial,2100,https://domiciliumimoveis.com.br/imovel/1862/ponto-comercial/centro/santa-cruz-de-mis/2
Fabricas,1,1,0,N,N,N,S,Kitnet,1250,https://domiciliumimoveis.com.br/imovel/1807/kitnet/fabricas/sao-joao-del-rei/2
Colonia do Marcal,3,2,5,S,N,S,S,Casa,5000,https://domiciliumimoveis.com.br/imovel/1860/casa/-colonia-do-marcal/sao-joao-del-rei/2
Fabricas,1,1,0,N,N,N,S,Kitnet,1250,https://domiciliumimoveis.com.br/imovel/1807/kitnet/fabricas/sao-joao-del-rei/2
Fabricas,1,1,0,N,N,N,S,Kitnet,1050,https://domiciliumimoveis.com.br/imovel/1780/kitnet/fabricas/sao-joao-del-rei/2
Colonia do Marcal,4,1,3,S,N,N,S,Casa,4500,https://domiciliumimoveis.com.br/imovel/1773/casa/colonia-do-marcal/sao-joao-del-rei/2
Dom Bosco,1,1,0,N,N,N,S,Kitnet,900,https://domiciliumimoveis.com.br/imovel/1772/kitnet/dom-bosco/sao-joao-del-rei/2
Vila Marchetti,3,1,1,S,N,N,S,Casa,2000,https://domiciliumimoveis.com.br/imovel/1763/casa/vila-marchetti/sao-joao-del-rei/3
Fabricas,1,1,0,N,N,N,S,Kitnet,1100,https://domiciliumimoveis.com.br/imovel/1759/kitnet/fabricas/sao-joao-del-rei/3
Dom Bosco,1,1,0,N,N,N,S,Kitnet,750,https://domiciliumimoveis.com.br/imovel/1753/kitnet/dom-bosco/sao-joao-del-rei/3
Fabricas,1,1,0,N,N,N,S,Kitnet,850,https://domiciliumimoveis.com.br/imovel/1735/kitnet/fabricas/sao-joao-del-rei/3
Fabricas,1,1,0,N,N,N,S,Kitnet,1050,https://domiciliumimoveis.com.br/imovel/1733/kitnet/fabricas/sao-joao-del-rei/3
Fabricas,1,1,0,N,N,N,S,Kitnet,1050,https://domiciliumimoveis.com.br/imovel/1731/kitnet/fabricas/sao-joao-del-rei/3
Fabricas,1,1,0,N,N,N,S,Kitnet,950,https://domiciliumimoveis.com.br/imovel/1725/kitnet/fabricas/sao-joao-del-rei/3
Fabricas,1,1,0,N,N,N,S,Kitnet,1000,https://domiciliumimoveis.com.br/imovel/1730/kitnet/fabricas/sao-joao-del-rei/3
Bonfim,1,1,0,N,N,N,S,Kitnet,650,https://domiciliumimoveis.com.br/imovel/1692/kitnet/vila-maria-bonfim/sao-joao-del-rei/3
Fabricas,0,3,0,S,N,N,S,Galpão,7000,https://domiciliumimoveis.com.br/imovel/1679/galpao/fabricas/sao-joao-del-rei/3
